League	Day 	Month	Day	Home	Visitor
#NL	Sunday	April	2	ARI	SFG
#AL	Sunday	April	2	TB	NYY
NL	Monday	April	3	WSH	MIA
NL	Monday	April	3	NYM	ATL
NL	Monday	April	3	MIL	COL
NL	Monday	April	3	LAD	SD
AL	Monday	April	3	BOS	PIT
AL	Monday	April	3	BAL	TOR
AL	Monday	April	3	TEX	CLE
AL	Monday	April	3	CWS	DET
AL	Monday	April	3	MIN	KC
NL	Monday	April	3	STL	CHI
NL	Monday	April	3	CIN	PHI
AL	Monday	April	3	OAK	LAA
AL	Monday	April	3	HOU	SEA
NL	Tuesday	April	4	MIL	COL
NL	Tuesday	April	4	ARI	SFG
AL	Tuesday	April	4	TEX	CLE
AL	Tuesday	April	4	OAK	LAA
AL	Tuesday	April	4	TB	NYY
AL	Tuesday	April	4	HOU	SEA
NL	Tuesday	April	4	LAD	SD
AL	Wednesday	April	5	CWS	DET
AL	Wednesday	April	5	MIN	KC
NL	Wednesday	April	5	ARI	SFG
AL	Wednesday	April	5	TEX	CLE
AL	Wednesday	April	5	BAL	TOR
NL	Wednesday	April	5	WSH	MIA
AL	Wednesday	April	5	OAK	LAA
AL	Wednesday	April	5	BOS	PIT
AL	Wednesday	April	5	TB	NYY
AL	Wednesday	April	5	HOU	SEA
NL	Wednesday	April	5	NYM	ATL
NL	Wednesday	April	5	CIN	PHI
NL	Wednesday	April	5	MIL	COL
NL	Wednesday	April	5	LAD	SD
NL	Wednesday	April	5	STL	CHI
AL	Thursday	April	6	CWS	DET
AL	Thursday	April	6	BOS	PIT
NL	Thursday	April	6	LAD	SD
AL	Thursday	April	6	MIN	KC
NL	Thursday	April	6	CIN	PHI
AL	Thursday	April	6	OAK	LAA
NL	Thursday	April	6	MIL	COL
NL	Thursday	April	6	STL	CHI
NL	Thursday	April	6	WSH	MIA
NL	Thursday	April	6	ARI	SFG
AL	Thursday	April	6	TB	TOR
AL	Thursday	April	6	HOU	SEA
NL	Thursday	April	6	NYM	ATL
NL	Friday	April	7	PIT	ATL
AL	Friday	April	7	DET	BOS
NL	Friday	April	7	COL	LAD
